"|","|__name","|__year","|__position","|__rating","|__url"
"","Rang De Basanti","2006","74","8.1","https://www.imdb.com/title/tt0405508/"
"","Bommarillu","2006","98","8.0","https://www.imdb.com/title/tt0843326/"
"","Omkara","2006","101","8.0","https://www.imdb.com/title/tt0488414/"
"","Lage Raho Munna Bhai","2006","103","8.0","https://www.imdb.com/title/tt0456144/"
"","Dor","2006","147","7.8","https://www.imdb.com/title/tt0824316/"
"","Vettaiyaadu Vilaiyaadu","2006","150","7.8","https://www.imdb.com/title/tt0455829/"
"","Pokiri","2006","167","7.7","https://www.imdb.com/title/tt0816258/"
"","Taare Zameen Par","2007","16","8.3","https://www.imdb.com/title/tt0986264/"
"","Chak De! India","2007","67","8.1","https://www.imdb.com/title/tt0871510/"
"","Jab We Met","2007","137","7.9","https://www.imdb.com/title/tt1093370/"
"","Johnny Gaddaar","2007","162","7.8","https://www.imdb.com/title/tt1077248/"
"","Guru","2007","181","7.7","https://www.imdb.com/title/tt0499375/"
"","Bheja Fry","2007","205","7.6","https://www.imdb.com/title/tt1014672/"
"","Manorama: Six Feet Under","2007","211","7.6","https://www.imdb.com/title/tt0920464/"
"","A Wednesday","2008","76","8.1","https://www.imdb.com/title/tt1280558/"
"","Vaaranam Aayiram","2008","127","7.9","https://www.imdb.com/title/tt1180583/"
"","Rock On!!","2008","175","7.7","https://www.imdb.com/title/tt1230165/"
"","Dasvidaniya","2008","177","7.7","https://www.imdb.com/title/tt1288638/"
"","Oye Lucky! Lucky Oye!","2008","185","7.7","https://www.imdb.com/title/tt1292703/"
"","Mumbai Meri Jaan","2008","187","7.7","https://www.imdb.com/title/tt1266583/"
"","Aamir","2008","194","7.6","https://www.imdb.com/title/tt1241195/"
"","Jodhaa Akbar","2008","225","7.5","https://www.imdb.com/title/tt0449994/"
"","3 Idiots","2009","15","8.4","https://www.imdb.com/title/tt1187043/"
"","Gulaal","2009","109","8.0","https://www.imdb.com/title/tt1261047/"
"","Dev.D","2009","121","7.9","https://www.imdb.com/title/tt1327035/"
"","Unnaipol Oruvan","2009","143","7.8","https://www.imdb.com/title/tt1417299/"
"","Magadheera","2009","210","7.6","https://www.imdb.com/title/tt1447500/"
"","Wake Up Sid","2009","216","7.6","https://www.imdb.com/title/tt1324059/"
"","Rocket Singh: Salesman of the Year","2009","237","7.5","https://www.imdb.com/title/tt1434447/"
"2010","Udaan","2010","72","8.1","https://www.imdb.com/title/tt1639426/"
"","Vedam","2010","132","7.9","https://www.imdb.com/title/tt1649431/"
"","My Name Is Khan","2010","136","7.9","https://www.imdb.com/title/tt1188996/"
"","Do Dooni Chaar","2010","241","7.5","https://www.imdb.com/title/tt1714832/"
"","Phas Gaye Re Obama","2010","249","7.5","https://www.imdb.com/title/tt1773015/"
"","Zindagi Na Milegi Dobara","2011","73","8.1","https://www.imdb.com/title/tt1562872/"
"","Stanley Ka Dabba","2011","174","7.7","https://www.imdb.com/title/tt1907761/"
"","Rockstar","2011","190","7.6","https://www.imdb.com/title/tt1839596/"
"","Pyaar Ka Punchnama","2011","202","7.6","https://www.imdb.com/title/tt1926313/"
"","Delhi Belly","2011","223","7.5","https://www.imdb.com/title/tt1934231/"
"","Shahid","2012","48","8.2","https://www.imdb.com/title/tt2181831/"
"","Gangs of Wasseypur","2012","54","8.1","https://www.imdb.com/title/tt1954470/"
"","Paan Singh Tomar","2012","57","8.1","https://www.imdb.com/title/tt1620933/"
